img,prev_type,prev,correct,targ,targ_x,targ_y,side,sprdnt,basic
stims/cs_001.jpg,intact,stims/cs_001.jpg,k,targ_ka.png,0.243777778,-0.287777778,R,manmade,city_street
stims/cs_002.jpg,scrambled,stims/ps_cs_002.jpg,k,targ_ka.png,0.218444444,0.334444444,R,manmade,city_street
stims/cs_003.jpg,intact,stims/cs_003.jpg,k,targ_ka.png,0.273333333,0.233333333,R,manmade,city_street
stims/cs_004.jpg,scrambled,stims/ps_cs_004.jpg,k,targ_ka.png,0.391555556,-0.015555556,R,manmade,city_street
stims/cs_005.jpg,scrambled,stims/ps_cs_005.jpg,k,targ_ka.png,0.311333333,-0.163333333,R,manmade,city_street
stims/cs_006.jpg,intact,stims/cs_006.jpg,k,targ_ka.png,0.324,0.14,R,manmade,city_street
stims/cs_007.jpg,intact,stims/cs_007.jpg,l,targ_li.png,0.378888889,-0.038888889,R,manmade,city_street
stims/cs_008.jpg,intact,stims/cs_008.jpg,k,targ_ka.png,0.349333333,-0.093333333,R,manmade,city_street
stims/cs_009.jpg,intact,stims/cs_009.jpg,l,targ_li.png,0.307111111,0.171111111,R,manmade,city_street
stims/cs_010.jpg,scrambled,stims/ps_cs_010.jpg,l,targ_li.png,0.332444444,-0.124444444,R,manmade,city_street
stims/f_001.jpg,scrambled,stims/ps_f_001.jpg,l,targ_li.png,-0.294444444,0.194444444,L,natural,forest
stims/f_002.jpg,intact,stims/f_002.jpg,k,targ_ka.png,-0.307111111,-0.171111111,L,natural,forest
stims/f_003.jpg,scrambled,stims/ps_f_003.jpg,l,targ_li.png,-0.256444444,-0.264444444,L,natural,forest
stims/f_004.jpg,scrambled,stims/ps_f_004.jpg,k,targ_ka.png,-0.4,0,L,natural,forest
stims/f_005.jpg,intact,stims/f_005.jpg,k,targ_ka.png,-0.395777778,0.007777778,L,natural,forest
stims/f_006.jpg,scrambled,stims/ps_f_006.jpg,l,targ_li.png,-0.222666667,0.326666667,L,natural,forest
stims/f_007.jpg,intact,stims/f_007.jpg,k,targ_ka.png,-0.353555556,-0.085555556,L,natural,forest
stims/f_008.jpg,scrambled,stims/ps_f_008.jpg,k,targ_ka.png,-0.226888889,0.318888889,L,natural,forest
stims/f_009.jpg,intact,stims/f_009.jpg,k,targ_ka.png,-0.324,-0.14,L,natural,forest
stims/f_010.jpg,scrambled,stims/ps_f_010.jpg,l,targ_li.png,-0.281777778,-0.217777778,L,natural,forest
