img,prev_type,prev,correct,targ,targ_x,targ_y,side,sprdnt,basic
stims/cs_001.jpg,scrambled,stims/ps_cs_001.jpg,l,targ_li.png,0.332444444,-0.124444444,L,manmade,city_street
stims/cs_002.jpg,intact,stims/cs_002.jpg,k,targ_ka.png,0.290222222,-0.202222222,L,manmade,city_street
stims/cs_003.jpg,scrambled,stims/ps_cs_003.jpg,l,targ_li.png,0.307111111,-0.171111111,L,manmade,city_street
stims/cs_004.jpg,intact,stims/cs_004.jpg,l,targ_li.png,0.239555556,0.295555556,L,manmade,city_street
stims/cs_005.jpg,scrambled,stims/ps_cs_005.jpg,l,targ_li.png,0.374666667,0.046666667,L,manmade,city_street
stims/cs_006.jpg,scrambled,stims/ps_cs_006.jpg,k,targ_ka.png,0.248,-0.28,L,manmade,city_street
stims/cs_007.jpg,intact,stims/cs_007.jpg,k,targ_ka.png,0.311333333,-0.163333333,L,manmade,city_street
stims/cs_008.jpg,scrambled,stims/ps_cs_008.jpg,l,targ_li.png,0.362,-0.07,L,manmade,city_street
stims/cs_009.jpg,scrambled,stims/ps_cs_009.jpg,k,targ_ka.png,0.294444444,-0.194444444,L,manmade,city_street
stims/cs_010.jpg,scrambled,stims/ps_cs_010.jpg,l,targ_li.png,0.260666667,-0.256666667,L,manmade,city_street
stims/f_001.jpg,intact,stims/f_001.jpg,l,targ_li.png,-0.357777778,-0.077777778,R,natural,forest
stims/f_002.jpg,scrambled,stims/ps_f_002.jpg,l,targ_li.png,-0.362,0.07,R,natural,forest
stims/f_003.jpg,scrambled,stims/ps_f_003.jpg,l,targ_li.png,-0.374666667,0.046666667,R,natural,forest
stims/f_004.jpg,scrambled,stims/ps_f_004.jpg,k,targ_ka.png,-0.281777778,0.217777778,R,natural,forest
stims/f_005.jpg,scrambled,stims/ps_f_005.jpg,l,targ_li.png,-0.328222222,-0.132222222,R,natural,forest
stims/f_006.jpg,scrambled,stims/ps_f_006.jpg,l,targ_li.png,-0.264888889,-0.248888889,R,natural,forest
stims/f_007.jpg,intact,stims/f_007.jpg,k,targ_ka.png,-0.391555556,-0.015555556,R,natural,forest
stims/f_008.jpg,intact,stims/f_008.jpg,k,targ_ka.png,-0.387333333,0.023333333,R,natural,forest
stims/f_009.jpg,scrambled,stims/ps_f_009.jpg,k,targ_ka.png,-0.298666667,-0.186666667,R,natural,forest
stims/f_010.jpg,scrambled,stims/ps_f_010.jpg,l,targ_li.png,-0.290222222,-0.202222222,R,natural,forest
