img,prev_type,prev,correct,targ,targ_x,targ_y,side,sprdnt,basic
stims/cs_001.jpg,scrambled,stims/ps_cs_001.jpg,l,targ_li.png,-0.362,0.07,L,manmade,city_street
stims/cs_002.jpg,intact,stims/cs_002.jpg,k,targ_ka.png,-0.302888889,0.178888889,L,manmade,city_street
stims/cs_003.jpg,scrambled,stims/ps_cs_003.jpg,k,targ_ka.png,-0.362,-0.07,L,manmade,city_street
stims/cs_004.jpg,scrambled,stims/ps_cs_004.jpg,l,targ_li.png,-0.273333333,0.233333333,L,manmade,city_street
stims/cs_005.jpg,scrambled,stims/ps_cs_005.jpg,k,targ_ka.png,-0.298666667,0.186666667,L,manmade,city_street
stims/cs_006.jpg,intact,stims/cs_006.jpg,l,targ_li.png,-0.4,0,L,manmade,city_street
stims/cs_007.jpg,intact,stims/cs_007.jpg,k,targ_ka.png,-0.328222222,0.132222222,L,manmade,city_street
stims/cs_008.jpg,intact,stims/cs_008.jpg,l,targ_li.png,-0.307111111,0.171111111,L,manmade,city_street
stims/cs_009.jpg,scrambled,stims/ps_cs_009.jpg,l,targ_li.png,-0.281777778,0.217777778,L,manmade,city_street
stims/cs_010.jpg,intact,stims/cs_010.jpg,l,targ_li.png,-0.324,-0.14,L,manmade,city_street
stims/f_001.jpg,intact,stims/f_001.jpg,k,targ_ka.png,0.222666667,0.326666667,R,natural,forest
stims/f_002.jpg,intact,stims/f_002.jpg,k,targ_ka.png,0.324,0.14,R,natural,forest
stims/f_003.jpg,intact,stims/f_003.jpg,l,targ_li.png,0.311333333,-0.163333333,R,natural,forest
stims/f_004.jpg,intact,stims/f_004.jpg,l,targ_li.png,0.260666667,0.256666667,R,natural,forest
stims/f_005.jpg,intact,stims/f_005.jpg,k,targ_ka.png,0.319777778,-0.147777778,R,natural,forest
stims/f_006.jpg,scrambled,stims/ps_f_006.jpg,l,targ_li.png,0.239555556,0.295555556,R,natural,forest
stims/f_007.jpg,intact,stims/f_007.jpg,l,targ_li.png,0.311333333,0.163333333,R,natural,forest
stims/f_008.jpg,scrambled,stims/ps_f_008.jpg,l,targ_li.png,0.248,-0.28,R,natural,forest
stims/f_009.jpg,scrambled,stims/ps_f_009.jpg,k,targ_ka.png,0.362,-0.07,R,natural,forest
stims/f_010.jpg,intact,stims/f_010.jpg,k,targ_ka.png,0.307111111,-0.171111111,R,natural,forest
